Target Distance: 20, Step Size: 2
63: (x,y) = (-0.889751, 8.83366)
64: (x,y) = (1.0735, 8.45204)
65: (x,y) = (2.55979, 7.11378)
66: (x,y) = (1.71456, 8.9264)
67: (x,y) = (-0.0174941, 9.9264)
68: (x,y) = (0.890487, 8.14438)
69: (x,y) = (-1.09856, 8.35344)
70: (x,y) = (0.578784, 9.44272)
71: (x,y) = (2.32802, 10.4123)
72: (x,y) = (1.98073, 8.44272)
73: (x,y) = (0.12636, 9.19194)
74: (x,y) = (-1.49167, 10.3675)
75: (x,y) = (-3.04597, 11.6261)
76: (x,y) = (-4.40996, 10.1634)
77: (x,y) = (-4.85987, 12.1122)
78: (x,y) = (-5.94914, 10.4348)
79: (x,y) = (-6.69836, 8.58047)
80: (x,y) = (-8.52545, 9.39395)
81: (x,y) = (-10.0797, 10.6526)
82: (x,y) = (-11.3111, 12.2286)
83: (x,y) = (-10.3111, 10.4966)
84: (x,y) = (-10.4157, 8.4993)
85: (x,y) = (-12.2951, 7.81526)
86: (x,y) = (-14.2842, 7.6062)
87: (x,y) = (-16.2829, 7.676)
88: (x,y) = (-14.6857, 8.87963)
89: (x,y) = (-13.3474, 10.3659)
90: (x,y) = (-12.5339, 8.53883)
91: (x,y) = (-10.6796, 7.78961)
92: (x,y) = (-12.189, 9.10173)
93: (x,y) = (-10.2869, 8.4837)
94: (x,y) = (-11.1636, 6.68611)
95: (x,y) = (-9.28423, 7.37015)
96: (x,y) = (-11.0335, 6.40053)
97: (x,y) = (-12.9653, 5.88289)
98: (x,y) = (-11.0166, 5.43299)
99: (x,y) = (-9.16222, 4.68378)
100: (x,y) = (-7.63013, 5.96935)
101: (x,y) = (-6.37149, 7.52365)
102: (x,y) = (-5.75345, 9.42576)
103: (x,y) = (-7.28554, 10.7113)
104: (x,y) = (-6.16716, 9.05326)
105: (x,y) = (-6.58298, 7.09696)
106: (x,y) = (-4.59394, 6.88791)
107: (x,y) = (-3.36261, 8.46393)
108: (x,y) = (-4.75193, 7.02525)
109: (x,y) = (-3.69209, 8.72134)
110: (x,y) = (-4.17594, 6.78075)
111: (x,y) = (-2.17868, 6.88543)
112: (x,y) = (-3.85602, 5.79615)
113: (x,y) = (-2.8864, 4.04691)
114: (x,y) = (-2.16966, 5.91407)
115: (x,y) = (-3.25894, 7.59141)
116: (x,y) = (-4.89725, 6.44426)
117: (x,y) = (-3.11523, 5.53628)
118: (x,y) = (-3.39358, 7.51681)
119: (x,y) = (-4.39358, 5.78476)
120: (x,y) = (-4.56789, 7.77715)
121: (x,y) = (-6.22596, 8.89554)
122: (x,y) = (-4.3588, 9.61227)
123: (x,y) = (-6.35119, 9.43796)
124: (x,y) = (-7.78987, 10.8273)
125: (x,y) = (-8.75949, 12.5765)
126: (x,y) = (-9.96312, 10.9792)
127: (x,y) = (-9.96312, 12.9792)
128: (x,y) = (-10.2069, 14.9643)
129: (x,y) = (-8.58883, 16.1399)
130: (x,y) = (-9.00465, 18.0962)
After 130 steps, the subject has the following location:
(x,y) = (-9.00465, 18.0962)
 or
(m,a) = (20.2128, 116.455)
Average outward distance per step = 0.155483

Target Distance: 4, Step Size: 1
0: (x,y) = (0, 0)
1: (x,y) = (0.857167, 0.515038)
2: (x,y) = (-0.14268, 0.53249)
3: (x,y) = (-1.00871, 0.0324905)
4: (x,y) = (-0.0815219, -0.342116)
5: (x,y) = (0.561266, 0.423928)
6: (x,y) = (1.34928, -0.191733)
7: (x,y) = (0.693217, -0.946443)
8: (x,y) = (-0.28493, -1.15435)
9: (x,y) = (-1.06208, -0.525034)
10: (x,y) = (-0.148531, -0.118297)
11: (x,y) = (0.546128, -0.837637)
12: (x,y) = (-0.393565, -1.17966)
13: (x,y) = (0.361145, -1.83572)
14: (x,y) = (0.291388, -0.838152)
15: (x,y) = (-0.115349, 0.0753932)
16: (x,y) = (0.661797, 0.704714)
17: (x,y) = (-0.22115, 0.235242)
18: (x,y) = (0.394511, 1.02325)
19: (x,y) = (-0.234809, 0.246107)
20: (x,y) = (-0.321965, -0.750088)
21: (x,y) = (-0.92378, 0.0485476)
22: (x,y) = (0.0505903, -0.176403)
23: (x,y) = (0.706649, -0.931113)
24: (x,y) = (0.0375187, -1.67426)
25: (x,y) = (0.792228, -2.33032)
26: (x,y) = (1.24622, -3.22132)
27: (x,y) = (2.20252, -3.5137)
After 27 steps, the subject has the following location:
(x,y) = (2.20252, -3.5137)
 or
(m,a) = (4.14695, -57.9189)
Average outward distance per step = 0.153591

Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (13.64, 14.6271)
2: (x,y) = (18.139, 34.1145)
3: (x,y) = (6.95513, 17.5337)
4: (x,y) = (-12.741, 21.0067)
5: (x,y) = (-29.5144, 31.8995)
6: (x,y) = (-40.986, 48.2825)
7: (x,y) = (-49.4383, 66.4087)
8: (x,y) = (-67.4142, 75.1761)
After 8 steps, the subject has the following location:
(x,y) = (-67.4142, 75.1761)
 or
(m,a) = (100.976, 131.884)
Average outward distance per step = 12.622

